"campaignid","sample","family","genus","species","maxn","stereo.maxn","difference","percent.difference"
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB547","Atherinidae","Unknown","spp",750,1,749,99.8666666666667
"2015-01_Montebello.transect_stereoBRUVs","NCB624","Carangidae","Gnathanodon","speciosus",17,5,12,70.5882352941177
"2015-01_Montebello.transect_stereoBRUVs","NCB682","Nemipteridae","Pentapodus","porosus",15,21,6,40
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB525","Labridae","Thalassoma","lunare",4,8,4,100
"2015-01_Montebello.transect_stereoBRUVs","NCB656","Labridae","Cirrhilabrus","temminckii",123,127,4,3.2520325203252
"2015-01_Montebello.transect_stereoBRUVs","NCB613","Labridae","Anampses","lennardi",3,6,3,100
"2015-01_Montebello.transect_stereoBRUVs","NCB614","Labridae","Leptojulis","cyanopleura",5,2,3,60
"2015-01_Montebello.transect_stereoBRUVs","NCB628","Carangidae","Gnathanodon","speciosus",9,12,3,33.3333333333333
"2015-01_Montebello.transect_stereoBRUVs","NCB613","Serranidae","Unknown","sp1",0,2,2,Inf
"2015-01_Montebello.transect_stereoBRUVs","NCB712","Labridae","Cirrhilabrus","temminckii",4,6,2,50
"2015-01_Montebello.transect_stereoBRUVs","NCB713","Labridae","Cirrhilabrus","temminckii",3,5,2,66.6666666666667
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB526","Lethrinidae","Lethrinus","atkinsoni",2,1,1,50
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB555","Serranidae","Epinephelus","fasciatus",2,3,1,50
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB568","Acanthuridae","Naso","unicornis",2,1,1,50
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB570","Blenniidae","Ecsenius","lineatus",2,1,1,50
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB570","Pomacentridae","Dascyllus","reticulatus",8,7,1,12.5
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB583","Carangidae","Selaroides","leptolepis",6,5,1,16.6666666666667
"2015-01_Montebello.transect_stereoBRUVs","NCB607","Pomacentridae","Pristotis","obtusirostris",45,46,1,2.22222222222222
"2015-01_Montebello.transect_stereoBRUVs","NCB613","Serranidae","Epinephelus","bilobatus",2,3,1,50
"2015-01_Montebello.transect_stereoBRUVs","NCB613","Serranidae","Epinephelus","rivulatus",1,2,1,100
"2015-01_Montebello.transect_stereoBRUVs","NCB614","Pomacentridae","Pristotis","obtusirostris",120,121,1,0.833333333333333
"2015-01_Montebello.transect_stereoBRUVs","NCB623","Labridae","Bodianus","bilunulatus",2,3,1,50
"2015-01_Montebello.transect_stereoBRUVs","NCB624","Acanthuridae","Ctenochaetus","striatus",2,1,1,50
"2015-01_Montebello.transect_stereoBRUVs","NCB629","Balistidae","Sufflamen","fraenatum",2,1,1,50
"2015-01_Montebello.transect_stereoBRUVs","NCB634","Acanthuridae","Acanthurus","olivaceus",2,3,1,50
"2015-01_Montebello.transect_stereoBRUVs","NCB634","Scombridae","Scomberomorus","spp",2,3,1,50
"2015-01_Montebello.transect_stereoBRUVs","NCB639","Lethrinidae","Lethrinus","ravus",2,3,1,50
"2015-01_Montebello.transect_stereoBRUVs","NCB646","Serranidae","Plectropomus","spp",2,1,1,50
"2015-01_Montebello.transect_stereoBRUVs","NCB648","Serranidae","Plectropomus","spp",2,1,1,50
"2015-01_Montebello.transect_stereoBRUVs","NCB658","Labridae","Choerodon","jordani",2,1,1,50
"2015-01_Montebello.transect_stereoBRUVs","NCB658","Labridae","Leptojulis","cyanopleura",3,2,1,33.3333333333333
"2015-01_Montebello.transect_stereoBRUVs","NCB665","Tetraodontidae","Lagocephalus","sceleratus",2,1,1,50
"2015-01_Montebello.transect_stereoBRUVs","NCB666","Lutjanidae","Lutjanus","lemniscatus",5,6,1,20
"2015-01_Montebello.transect_stereoBRUVs","NCB667","Labridae","Leptojulis","cyanopleura",2,1,1,50
"2015-01_Montebello.transect_stereoBRUVs","NCB668","Nemipteridae","Nemipterus","spp",5,6,1,20
"2015-01_Montebello.transect_stereoBRUVs","NCB672","Pomacentridae","Pristotis","obtusirostris",1,2,1,100
"2015-01_Montebello.transect_stereoBRUVs","NCB711","Labridae","Bodianus","bilunulatus",1,2,1,100
